,adult,old,young
REACTOME_CGMP_EFFECTS,0.992,1,0.983
REACTOME_REGULATION_OF_SIGNALING_BY_CBL,1,1,1
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION,0.337,0.14,0.339
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,0.591,0,0.136
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP,1,0.039,1
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,1,1,1
REACTOME_NEPHRIN_INTERACTIONS,1,1,1
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING,1,1,1
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,0.983,1,0.274
REACTOME_PLATELET_HOMEOSTASIS,0.957,1,1
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,0.686,0.003,0.232
REACTOME_PLATELET_SENSITIZATION_BY_LDL,0.175,0.975,0.724
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,1,1,1
REACTOME_IL_RECEPTOR_SHC_SIGNALING,1,0.895,1
REACTOME_RAP1_SIGNALLING,1,0.993,1
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS,1,0.976,1
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS,1,0.852,0.912
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR,0.991,0.991,0.996
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,0.001,0.859,0.71
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION,0.989,0.004,0.468
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,1,1,1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1,0.992,0.008,0.488
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS,1,1,1
REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1,0.008,0.207,0.373
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX,0.721,0.272,0.995
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,0.747,0.066,0.702
REACTOME_CIRCADIAN_CLOCK,1,1,1
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION,0.963,0.999,0.999
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,1,1,1
REACTOME_REGULATION_OF_IFNG_SIGNALING,0.837,0.974,0.817
REACTOME_GABA_A_RECEPTOR_ACTIVATION,1,1,1
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,0.872,0.895,0.958
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS,0.974,1,0.874
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION,0.515,0.973,0.239
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION,0.022,1,1
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,1,1,0.19
REACTOME_GABA_B_RECEPTOR_ACTIVATION,1,1,1
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10,0.994,1,1
REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP,0.028,0.045,0.05
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,0.974,0.613,0.949
REACTOME_IRON_UPTAKE_AND_TRANSPORT,0.005,0.076,0.996
REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP,0.051,0.121,0.028
REACTOME_INTERFERON_GAMMA_SIGNALING,0.476,0,0.395
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION,1,1,1
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,1,1,1
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.537,0.43,0.219
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,1,1,1
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.507,0.418,0.958
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.662,0.225,0.039
REACTOME_GABA_RECEPTOR_ACTIVATION,1,1,1
REACTOME_KINESINS,0.987,0.998,0.958
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI,1,1,1
REACTOME_REGULATION_OF_IFNA_SIGNALING,0.977,0.925,0.823
REACTOME_INTERFERON_SIGNALING,0.027,0.229,0.506
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,0.991,0.958,0.998
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE,0.022,1,1
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,0,0,0.007
REACTOME_DSCAM_INTERACTIONS,1,1,1
REACTOME_ION_CHANNEL_TRANSPORT,1,0.999,1
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0,1,0.999,1
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX,0.013,0.032,0.04
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,0.999,0.956,0.892
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1,1,1,1
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT,1,1,1
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,0.409,0.971,0.78
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,1,0.998,1
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,0.522,0.068,0.81
REACTOME_MEIOTIC_RECOMBINATION,0,0.4,0.014
REACTOME_IL_2_SIGNALING,1,1,1
REACTOME_IL_6_SIGNALING,0.993,0.995,0.984
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,1,1,0.999
REACTOME_SIGNALING_BY_NOTCH,1,0.799,0.944
REACTOME_LAGGING_STRAND_SYNTHESIS,0.768,0,0
REACTOME_INTRINSIC_PATHWAY,0.954,0.683,1
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,0.818,0.997,0.988
REACTOME_ETHANOL_OXIDATION,1,1,1
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,0.008,0.002,0.064
REACTOME_DNA_REPLICATION,0.002,0.02,0.006
REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_,0.687,0.977,0.664
REACTOME_PKB_MEDIATED_EVENTS,0.506,0.891,1
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,0.13,0.8,0.947
REACTOME_METABOLISM_OF_CARBOHYDRATES,0,0,0.216
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS,0.566,0.163,0.247
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR,0.017,0.007,0.988
REACTOME_SIGNAL_ATTENUATION,1,1,1
REACTOME_PURINE_METABOLISM,0.055,0.44,0.108
REACTOME_SOS_MEDIATED_SIGNALLING,1,0.953,0.981
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER,0.145,0.825,0.069
REACTOME_APOPTOSIS,0.005,0.001,0.196
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT,0.059,0,0.027
REACTOME_HEMOSTASIS,1,0.999,1
REACTOME_INFLUENZA_LIFE_CYCLE,0.855,0.379,0.86
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,0.84,0.274,0.935
REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY,0.343,0.304,0.183
REACTOME_HIV_INFECTION,0.205,0.164,0.536
REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS,0.093,0.906,0.831
REACTOME_HIV_LIFE_CYCLE,0.209,0.788,0.536
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.763,0.759,0.829
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE,0.622,0.801,0.403
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,0.733,0.986,0.432
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION,0.761,0.817,0.094
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_,1,1,1
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX,0.798,0.077,0.353
REACTOME_RAF_MAP_KINASE_CASCADE,1,0.957,0.999
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS,0.956,0.994,0.589
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE,0.009,0.964,0.703
REACTOME_SHC_MEDIATED_SIGNALLING,1,0.996,0.987
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,0.011,0.905,0.886
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,0,0,0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.367,0.369,0.915
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.276,0,0.002
REACTOME_UNWINDING_OF_DNA,1,1,1
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,0.79,0.812,0.991
REACTOME_GLUCURONIDATION,1,1,1
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C,0.966,0.947,1
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE,0.022,1,1
REACTOME_INNATE_IMMUNE_SYSTEM,0.01,0.694,0.951
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN,0.765,0.672,0.422
REACTOME_MITOTIC_PROMETAPHASE,0.857,0.712,0.2
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.368,0.773,0.795
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,0.996,0.999,1
REACTOME_LIPOPROTEIN_METABOLISM,0.003,0.001,0.075
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,0.994,0.996,1
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS,0.708,0.259,0.996
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT,1,1,1
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,0.642,0.998,0.713
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,0.017,0.119,0.447
REACTOME_ACTIVATED_TLR4_SIGNALLING,0.015,1,1
REACTOME_IMMUNE_SYSTEM,0.691,0.058,0.94
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION,1,1,1
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,0,0.003,0.196
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,1,1,1
REACTOME_INTEGRATION_OF_PROVIRUS,0.885,0.905,0.955
REACTOME_GLUTATHIONE_CONJUGATION,0.856,1,1
REACTOME_COMPLEMENT_CASCADE,0.292,0.237,0.781
REACTOME_PHASE_II_CONJUGATION,1,1,1
REACTOME_MTORC1_MEDIATED_SIGNALLING,0.464,0.279,0.857
REACTOME_TOLL_RECEPTOR_CASCADES,0.005,1,1
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.883,0.996,0.998
REACTOME_GLUCOSE_METABOLISM,0,0,0.003
REACTOME_RNA_POL_III_CHAIN_ELONGATION,0.358,0.732,0.025
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,1,0.999,0.999
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.439,0.116,0.925
REACTOME_NOD1_2_SIGNALING_PATHWAY,0.092,1,0.763
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0,0.002,0.819
REACTOME_MEIOTIC_SYNAPSIS,1,1,1
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.826,0.046,0.903
REACTOME_THE_NLRP3_INFLAMMASOME,1,1,1
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0.004,0.002,0.625
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX,0.632,0.032,0.827
REACTOME_PIP3_ACTIVATES_AKT_SIGNALING,1,1,1
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0,0.002,0.961
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS,1,1,1
REACTOME_INFLAMMASOMES,0.016,0.004,0.258
REACTOME_POTASSIUM_CHANNELS,0.987,0.944,0.906
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,0.865,0.767,0.974
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS,1,0.947,0.822
REACTOME_AMYLOIDS,1,1,1
REACTOME_PACKAGING_OF_TELOMERE_ENDS,0.017,0.975,0.272
REACTOME_TELOMERE_MAINTENANCE,0,0.152,0.003
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1,0.977,1
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND,0.947,0.01,0.569
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,1,1,1
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.306,0.633,0.824
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,1,1,1
REACTOME_EXTENSION_OF_TELOMERES,0.003,0.307,0
REACTOME_G2_M_CHECKPOINTS,0.058,0.006,0
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,0.027,0.405,0.849
REACTOME_S_PHASE,0.028,0.376,0.11
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21,0.989,0.963,1
REACTOME_TRYPTOPHAN_CATABOLISM,1,1,1
REACTOME_DNA_STRAND_ELONGATION,0.56,0.006,0
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.948,0.007,0.932
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION,1,1,1
REACTOME_CHOLESTEROL_BIOSYNTHESIS,0.31,0.814,0.289
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION,1,1,1
REACTOME_GAP_JUNCTION_TRAFFICKING,0.159,0.046,0.165
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION,1,1,1
REACTOME_METABOLISM_OF_PORPHYRINS,0.98,0.489,0.03
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION,1,1,1
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,0.995,0.999,1
REACTOME_SIGNALING_BY_FGFR,1,1,1
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE,1,1,1
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION,1,1,1
REACTOME_GAP_JUNCTION_ASSEMBLY,1,1,1
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,0.174,0,0.106
REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION,0.005,0.998,0.998
REACTOME_PYRIMIDINE_METABOLISM,0.128,0.001,0.338
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,0.926,0.938,0.937
REACTOME_PI3K_CASCADE,0,0,0
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.692,0.968,0.967
REACTOME_SHC_RELATED_EVENTS,0.002,0,0.774
NABA_COLLAGENS,1,1,1
NABA_ECM_GLYCOPROTEINS,0.184,0.131,0.969
NABA_ECM_REGULATORS,0.028,0.001,0.748
NABA_ECM_AFFILIATED,0.012,0.205,0.158
NABA_PROTEOGLYCANS,1,1,1
NABA_SECRETED_FACTORS,0,0,0
NABA_CORE_MATRISOME,0.132,0.031,0.954
NABA_MATRISOME_ASSOCIATED,0,0,0.009
NABA_BASEMENT_MEMBRANES,0.015,1,1
NABA_MATRISOME,0,0,0
